image,labels
800113bb65efe69e.jpg,healthy
8002cb321f8bfcdf.jpg,scab frog_eye_leaf_spot complex
80070f7fb5e2ccaa.jpg,scab
80077517781fb94f.jpg,scab
800cbf0ff87721f8.jpg,complex
800edef467d27c15.jpg,healthy
800f85dc5f407aef.jpg,rust
801d6dcd96e48ebc.jpg,healthy
801f78399a44e7af.jpg,complex
8021b94d437eb7d3.jpg,healthy
802291cee9fec9f4.jpg,complex
80230a9a3f7a9f6b.jpg,scab
80261f473eafb92c.jpg,scab
80273091d9e9bddb.jpg,frog_eye_leaf_spot
802962dc3ecdbb8d.jpg,scab
802969daaddbbc8c.jpg,scab
802b34badefa2ed0.jpg,scab
8032d2eafa45f1ec.jpg,scab
80331e0efb74dd62.jpg,healthy
803553d5df59cac2.jpg,scab
803b586d7db3ca16.jpg,rust
803bcb65f486e39a.jpg,healthy
803e3bd17a16e65c.jpg,complex
803e3e74737c314d.jpg,scab
803e60cf3c64e1fe.jpg,healthy
803f621b4757e0af.jpg,frog_eye_leaf_spot
803f658f8cc35ce3.jpg,scab
803f899768b5b789.jpg,rust
804a9db4c7daf436.jpg,scab
804e1eda54919fbb.jpg,healthy
8052c7272b3b3f5c.jpg,complex
8054952d7a8bacbf.jpg,complex
80563fc5e3ca1b3c.jpg,powdery_mildew
805763bc63dc5ec8.jpg,healthy
805fac7a36ea178c.jpg,scab
80782fca6a9f559c.jpg,scab
807dcd0bd2b0b6b9.jpg,frog_eye_leaf_spot
8081cf8f63250ff7.jpg,complex
808734da3f595b59.jpg,frog_eye_leaf_spot complex
808d2f39f597f406.jpg,powdery_mildew
80903293f2f9f7f0.jpg,scab
80933fcc6a673636.jpg,rust frog_eye_leaf_spot
80939571de62d5b6.jpg,frog_eye_leaf_spot
8096787430575fcf.jpg,healthy
8099f06ff22eb915.jpg,frog_eye_leaf_spot
809c3fc2796fd84a.jpg,rust
809e3fc0cbac7c59.jpg,healthy
809f7a96a508f43f.jpg,frog_eye_leaf_spot
80a06ecffc53017f.jpg,frog_eye_leaf_spot
80a23bcea7125a7f.jpg,scab
80a5a17f5e48697d.jpg,healthy
80a63b53ff0b0bb1.jpg,complex
80a6d5c08ae6e5bf.jpg,scab
80a747d86ae9abe2.jpg,scab
80a7cecb3616b633.jpg,healthy
80a9db3783f16366.jpg,complex
80aa53172b9fc78d.jpg,healthy
80acda383e3367cd.jpg,healthy
80af63966d9272e9.jpg,healthy
80b075dfc24bb725.jpg,healthy
80b0b0dacf697db4.jpg,healthy
80b0c5d6d7ce83dc.jpg,rust
80b46aea80b7dead.jpg,frog_eye_leaf_spot
80b4a4d8d2f2db5b.jpg,frog_eye_leaf_spot
80b4b62f1232e6fb.jpg,frog_eye_leaf_spot
80ba65f7c2bc17d0.jpg,scab
80bc2cd4f322babe.jpg,complex
80bc7d353e163e85.jpg,powdery_mildew
80bcfd9f60f06307.jpg,powdery_mildew
80bf1f99964852fc.jpg,scab
80bf21a07dfcf047.jpg,frog_eye_leaf_spot
80bf2d68de485ad6.jpg,scab
80bf683dd70c3fa0.jpg,scab
80c190d95bf963f6.jpg,healthy
80c23fcf63786e70.jpg,healthy
80c5d3895739ff50.jpg,scab
80c61d6b492d76b7.jpg,healthy
80c8caceaf7e343a.jpg,frog_eye_leaf_spot
80ca8fea677591d1.jpg,scab frog_eye_leaf_spot
80cac5abcfa9c9b4.jpg,healthy
